
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    192.168.1.33:61274     35.241.15.240:443      ESTABLISHED
  TCP    192.168.1.33:61277     72.247.212.197:443     ESTABLISHED
  TCP    192.168.1.33:61285     151.101.133.194:443    ESTABLISHED
  TCP    192.168.1.33:61291     216.58.201.129:443     TIME_WAIT
  TCP    192.168.1.33:61297     172.217.168.174:80     ESTABLISHED
  TCP    192.168.1.33:61298     172.217.168.174:80     ESTABLISHED
  TCP    192.168.1.33:61299     172.217.168.174:80     TIME_WAIT
  TCP    192.168.1.33:61301     18.196.151.57:443      ESTABLISHED
  TCP    192.168.1.33:61304     84.53.132.34:80        ESTABLISHED
  TCP    192.168.1.33:61306     93.184.220.29:80       ESTABLISHED
  TCP    192.168.1.33:61307     216.58.201.129:443     ESTABLISHED
  TCP    192.168.1.33:61308     13.32.62.84:443        ESTABLISHED
  TCP    192.168.1.33:61312     172.217.16.230:443     ESTABLISHED
  TCP    192.168.1.33:61315     173.241.240.17:443     TIME_WAIT
  TCP    192.168.1.33:61316     34.243.136.23:443      TIME_WAIT
  TCP    192.168.1.33:61317     35.186.236.204:443     ESTABLISHED
  TCP    192.168.1.33:61318     93.184.220.29:80       TIME_WAIT
  TCP    192.168.1.33:61319     93.184.220.29:80       ESTABLISHED
  TCP    192.168.1.33:61320     172.217.19.134:443     ESTABLISHED
  TCP    192.168.1.33:61323     77.238.185.35:443      ESTABLISHED
  TCP    192.168.1.33:61324     18.153.11.35:443       TIME_WAIT
  TCP    192.168.1.33:61325     46.228.164.11:443      TIME_WAIT
  TCP    192.168.1.33:61326     69.172.216.58:443      TIME_WAIT
  TCP    192.168.1.33:61328     216.58.201.141:443     ESTABLISHED
  TCP    192.168.1.33:61329     54.69.219.111:443      ESTABLISHED
  TCP    192.168.1.33:61330     52.28.244.199:443      ESTABLISHED
  TCP    192.168.1.33:61331     185.64.189.110:443     ESTABLISHED
  TCP    192.168.1.33:61332     185.64.189.110:443     ESTABLISHED
  TCP    192.168.1.33:61333     54.154.55.193:443      ESTABLISHED
  TCP    192.168.1.33:61334     13.32.62.99:443        ESTABLISHED
  TCP    192.168.1.33:61336     92.122.44.227:443      ESTABLISHED
  TCP    192.168.1.33:61339     173.241.240.17:443     TIME_WAIT
  TCP    192.168.1.33:61340     37.157.6.252:443       ESTABLISHED
  TCP    192.168.1.33:61341     66.155.71.189:443      TIME_WAIT
  TCP    192.168.1.33:61342     185.33.223.204:443     TIME_WAIT
  TCP    192.168.1.33:61343     104.155.76.175:443     ESTABLISHED
  TCP    192.168.1.33:61344     185.29.132.92:443      ESTABLISHED
  TCP    192.168.1.33:61345     54.76.37.66:443        ESTABLISHED
  TCP    192.168.1.33:61346     216.58.201.130:443     TIME_WAIT
  TCP    192.168.1.33:61347     93.184.220.51:443      ESTABLISHED
  TCP    192.168.1.33:61349     93.184.220.51:443      TIME_WAIT
  TCP    192.168.1.33:61351     185.64.189.114:443     ESTABLISHED
  TCP    192.168.1.33:61353     84.53.132.226:80       ESTABLISHED
  TCP    192.168.1.33:61355     66.155.71.179:443      TIME_WAIT
  TCP    192.168.1.33:61359     64.233.184.94:443      ESTABLISHED
  TCP    192.168.1.33:61365     13.32.62.27:443        ESTABLISHED
  TCP    192.168.1.33:61366     13.32.62.27:443        TIME_WAIT
  TCP    192.168.1.33:61370     216.58.201.162:443     ESTABLISHED
  TCP    192.168.1.33:61371     172.217.168.174:443    ESTABLISHED
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:2179              [::]:0                 LISTENING
  TCP    [::]:7680              [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49742             [::]:0                 LISTENING
  UDP    0.0.0.0:53             *:*                    
  UDP    0.0.0.0:68             *:*                    
  UDP    0.0.0.0:123            *:*                    
  UDP    0.0.0.0:500            *:*                    
  UDP    0.0.0.0:2968           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:4500           *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:58484          *:*                    
  UDP    0.0.0.0:58485          *:*                    
  UDP    0.0.0.0:58581          *:*                    
  UDP    10.0.75.1:137          *:*                    
  UDP    10.0.75.1:138          *:*                    
  UDP    10.0.75.1:1900         *:*                    
  UDP    10.0.75.1:2968         *:*                    
  UDP    10.0.75.1:65250        *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:61385        *:*                    
  UDP    127.0.0.1:65252        *:*                    
  UDP    172.24.74.113:67       *:*                    
  UDP    172.24.74.113:68       *:*                    
  UDP    172.24.74.113:1900     *:*                    
  UDP    172.24.74.113:2968     *:*                    
  UDP    172.24.74.113:65253    *:*                    
  UDP    192.168.1.33:137       *:*                    
  UDP    192.168.1.33:138       *:*                    
  UDP    192.168.1.33:1900      *:*                    
  UDP    192.168.1.33:2968      *:*                    
  UDP    192.168.1.33:65251     *:*                    
  UDP    [::]:123               *:*                    
  UDP    [::]:500               *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:4500              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:58486             *:*                    
  UDP    [::]:58582             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:65248            *:*                    
  UDP    [fe80::85b4:e229:cf5:2ebe%13]:1900  *:*                    
  UDP    [fe80::85b4:e229:cf5:2ebe%13]:65247  *:*                    
  UDP    [fe80::cc37:8b97:2a43:a912%6]:1900  *:*                    
  UDP    [fe80::cc37:8b97:2a43:a912%6]:65249  *:*                    
